@relation USER20
@attribute a0{﻿170.1,186.3,249.3,179,176,198,207.1,195,200,197,200.2,206.3,208,216,212.3,217,203.2,218.1,232,216.2,213,208.2,215.1,273.1,260.1,253.4,256.1,244.2,251.3,265.1,280.1,234.1,262.1,246.3,257.3,268.4,267.2,259.3}
@attribute a1 integer[0,2]
@attribute a2 integer[32,56]
@attribute a3 real[15.9538357618021,520.188927483868]
@attribute a4 real[58.0146016759925,112.775660698774]
@attribute a5 real[0.158808734833328,0.248335169445753]
@attribute a6 integer[6,15]
@attribute a7 real[11.8369835511948,714.060495435694]
@attribute a8 real[30.0688565349462,102.337172912624]
@attribute a9 integer[8,16]
@attribute a10 real[0.00357015351660121,0.640748031496063]
@attribute a11 real[2.51143384793973E-7,1.60252285468801E-6]
@attribute a12 real[1.0,1.01069518716578]
@attribute a13 real[-1.00545454545455,-0.293284216491924]
@attribute a14 real[0.0,0.115026428391644]
@attribute a15 real[0.464025026068822,1.01069518716578]
@attribute a16 real[0.464025026068822,1.01069518716578]
@attribute a17 real[1.21777019162357E-4,3.79812599610915E-4]
@attribute a18 real[5.31449495873736E-5,1.9999979011138E-4]
@attribute a19 real[9.12863070539419,10.0]
@attribute a20 real[2.30414471682306E-7,1.82034170118212E-6]
@attribute a21 real[-0.535974973931178,0.0]
@attribute a22 real[0.665004735838399,0.833680129628816]
@attribute a23 real[-0.535974973931178,0.0]
@attribute a24 real[0.0,0.706715783508076]
@attribute a25 real[0.989417989417989,1.00545454545455]
@attribute a26 integer[10,74]
@attribute a27 real[-1.00545454545455,-0.884973571608356]
@attribute a28 real[4.17168070597673E-4,6.66666666666667E-4]
@attribute a29 integer[11,73]
@attribute a30 real[0.20948367591693,0.284497213204334]
@attribute a31 real[8134.02499107462,25389.5584056827]
@attribute a32 real[0.176582254769736,0.526123160852548]
@attribute a33 real[1.88389081122645E-4,4.07407407407407E-4]
@attribute a34 real[3.89089450461292E-4,5.01360279828993E-4]
@attribute a35 real[3.24909747292419E-4,4.99194847020934E-4]
@attribute a36 integer[1,2]
@inputs a0, a1, a2, a3, a4, a5, a6, a7, a8, a9, a10, a11, a12, a13, a14, a15, a16, a17, a18, a19, a20, a21, a22, a23, a24, a25, a26, a27, a28, a29, a30, a31, a32, a33, a34, a35
@outputs a36
@data
200.2,0,46,33.3489730889717,79.8234365732895,0.220219107321962,10,20.0913275824089,51.0368909593847,12,0.004995004995005,1.26837491213086E-6,1.0,-0.959094865100087,0.040905134899913,0.928936367858802,0.928936367858802,1.93424523060893E-4,1.20813170336554E-4,10.0,1.16861508758125E-6,-0.0710636321411983,0.79918877677656,-0.0710636321411983,0.040905134899913,1.0,27,-0.959094865100087,5.34465534465534E-4,27,0.265103917250233,14623.9515484516,0.344763139395131,3.3966033966034E-4,4.74525474525475E-4,3.996003996004E-4,1
206.3,0,50,29.886587276948,76.0830673415227,0.243345576019695,11,22.2391011799766,58.6281779637014,11,0.00484730974309258,1.37841594486307E-6,1.0,-0.932195464110358,0.0678045358896423,0.913593256059009,0.913593256059009,2.78673872250247E-4,1.23666824767587E-4,10.0,1.48199633378342E-6,-0.0864067439409905,0.794096160606016,-0.0864067439409905,0.0678045358896423,1.0,27,-0.932195464110358,4.94425593795444E-4,26,0.280629468034483,14193.6776539021,0.332981019703164,3.82937469704314E-4,4.70189045079981E-4,4.1202132816287E-4,1
208,0,53,31.2594619155906,73.8823915431853,0.221933419521969,12,23.8494895469235,60.4829093421043,11,0.00480769230769231,1.41051556284085E-6,1.0,-0.916572970541938,0.0834270294580616,0.86682107701216,0.86682107701216,3.22776925555706E-4,1.2535096704176E-4,10.0,1.53141689679864E-6,-0.13317892298784,0.781298896113149,-0.13317892298784,0.0834270294580616,1.0,30,-0.916572970541938,4.80769230769231E-4,19,0.255810756981201,14079.4774038462,0.305261211677052,3.75E-4,4.80769230769231E-4,4.27884615384615E-4,1
216,0,51,30.1518435962923,70.2690596261309,0.245673687890461,14,20.8012896384325,54.6684231374949,13,0.00462962962962963,1.51828026290367E-6,1.0,-0.954897815362932,0.0451021846370684,0.993589743589744,0.993589743589744,3.42664176258412E-4,1.25571086437191E-4,10.0,1.49084146297167E-6,-0.00641025641025641,0.772114947838838,-0.00641025641025641,0.0451021846370684,1.0,27,-0.954897815362932,4.67592592592593E-4,26,0.2645211686181,13559.637962963,0.310785825335488,4.07407407407407E-4,4.53703703703704E-4,4.25925925925926E-4,1
212.3,0,47,31.7727879083851,75.746737652719,0.218334999003124,13,58.7107899203292,67.5789036598003,9,0.00471031559114461,9.10829527774818E-7,1.0,-0.953981928976676,0.0460180710233242,0.8914686825054,0.8914686825054,2.96527143002336E-4,1.15395727850457E-4,10.0,1.55828666197619E-6,-0.1085313174946,0.733578449342077,-0.1085313174946,0.0460180710233242,1.0,32,-0.953981928976676,4.71031559114461E-4,28,0.214800092620216,13797.6227037211,0.292232406857822,3.86245878473858E-4,4.71031559114461E-4,4.05087140838436E-4,1
217,0,52,28.0492379972983,70.6982281351191,0.237053112072411,13,21.7297825362813,56.0195041166057,12,0.00460829493087558,1.60252285468801E-6,1.0,-0.933445864480347,0.0665541355196528,0.916571428571429,0.916571428571429,3.41786074447859E-4,1.44230921216241E-4,10.0,1.64067816075201E-6,-0.0834285714285714,0.800082523909953,-0.0834285714285714,0.0665541355196528,1.0,31,-0.933445864480347,4.65437788018433E-4,35,0.261223310415509,13500.3539170507,0.275497763095278,3.91705069124424E-4,4.42396313364055E-4,3.963133640553E-4,1
203.2,1,44,31.2656327697446,72.2942134452873,0.224285232274796,12,21.1025752485006,54.237755935194,9,0.640748031496063,1.59658554337283E-6,1.0,-0.293284216491924,0.0816095211107963,0.87116912599319,0.996594778660613,2.98842394180779E-4,1.49209492362293E-4,9.89665354330709,1.55857160186395E-6,-0.12883087400681,0.817491360691072,-0.00340522133938706,0.706715783508076,1.0,30,-0.918390478889204,4.87319741422178E-4,32,0.260693491386982,14419.6875,0.252589000584596,3.67976131277971E-4,4.17702635504724E-4,4.27647936350075E-4,1
207.1,0,51,27.5943426819021,64.8575118347683,0.224537850478449,14,17.7574467710362,43.0371048811993,11,0.00482858522452921,1.57762947435783E-6,1.01069518716578,-0.957095709570957,0.0429042904290429,1.01069518716578,1.01069518716578,3.16931014597406E-4,1.61746071356192E-4,10.0,1.82034170118212E-6,0.0,0.833680129628816,0.0,0.0429042904290429,0.989417989417989,37,-0.957095709570957,4.82858522452921E-4,29,0.284497213204334,14149.2168034766,0.245414295189929,3.38000965717045E-4,4.34572670207629E-4,4.24915499758571E-4,1
218.1,0,56,439.748311343374,88.2161681610241,0.237306124816776,15,54.0182224145913,59.1015680873939,16,0.00458505272810637,1.07211858696511E-6,1.0,-0.924308255202378,0.0756917447976218,0.983031674208145,0.983031674208145,3.18737581334382E-4,1.28865319871756E-4,10.0,1.28547551969448E-6,-0.0169683257918552,0.761331595629629,-0.0169683257918552,0.0756917447976218,1.0,41,-0.924308255202378,4.90600641907382E-4,32,0.252729822958847,13437.1953232462,0.280680929966817,3.25538743695552E-4,4.40165061898212E-4,4.1723979825768E-4,1
232,0,52,27.3954737941888,73.2978101004201,0.227512734550561,15,20.7365416678342,60.8493050990271,12,0.00431034482758621,1.08848346372903E-6,1.0012706480305,-0.917260004910386,0.0827399950896145,1.0012706480305,1.0012706480305,2.47827977799287E-4,1.43841232388292E-4,10.0,9.94205368445414E-7,0.0,0.775138294532908,0.0,0.0827399950896145,0.998730964467005,48,-0.917260004910386,4.31034482758621E-4,40,0.270827467372156,12633.7840517241,0.281846760010273,3.62068965517241E-4,4.18103448275862E-4,4.0948275862069E-4,1
216.2,0,38,59.9686617976857,72.1861731500245,0.239221331767926,7,50.8300492682004,57.1980928222814,9,0.00462534690101758,7.04006678522454E-7,1.0,-0.986481191222571,0.0135188087774295,0.743421052631579,0.743421052631579,1.93338902925279E-4,7.48506411011662E-5,10.0,9.01559573005796E-7,-0.256578947368421,0.738723032159952,-0.256578947368421,0.0135188087774295,1.0,17,-0.986481191222571,6.33672525439408E-4,13,0.263237830177929,19940.3839037928,0.337291429537107,2.91396854764107E-4,4.67160037002775E-4,4.7641073080481E-4,2
213,0,33,22.8625117161748,83.6049981732204,0.234346668334228,7,16.7819363667143,69.0001876717841,9,0.00469483568075117,4.36042215205516E-7,1.00545454545455,-1.00545454545455,0.0,0.612852042840143,0.612852042840143,1.45154838494555E-4,6.01570520869263E-5,10.0,9.13833153143474E-7,-0.387147957159857,0.679302012022823,-0.387147957159857,0.0,1.00545454545455,10,-1.00545454545455,6.66666666666667E-4,11,0.241408920970993,20243.4323943662,0.395276537560421,2.86384976525822E-4,4.83568075117371E-4,4.64788732394366E-4,2
208.2,0,32,22.2608707088571,83.3193644377453,0.225719548004645,6,17.1996366446583,70.7761080701519,8,0.0048030739673391,4.1939413880165E-7,1.0,-0.989049278247884,0.0109507217521155,0.62278978388998,0.62278978388998,1.43414009249408E-4,6.05589270847428E-5,10.0,9.9043361592706E-7,-0.37721021611002,0.665004735838399,-0.37721021611002,0.0109507217521155,1.0,17,-0.989049278247884,6.24399615754083E-4,12,0.23668228189372,20714.1801152738,0.315835175800189,2.97790585975024E-4,4.8030739673391E-4,4.65898174831892E-4,2
215.1,0,33,18.5827228245173,70.2484038190063,0.230207757475876,6,16.2084653707664,59.0866750943626,8,0.00464900046490005,6.2009891639336E-7,1.0,-1.0,0.0,0.599907706506691,0.599907706506691,1.8342508777587E-4,7.0538094979647E-5,10.0,1.09342885849243E-6,-0.400092293493309,0.711523829792646,-0.400092293493309,0.0,1.0,33,-1.0,5.95072059507206E-4,34,0.266594579712827,20052.5811250581,0.318651638189628,2.55695025569503E-4,4.37006043700604E-4,4.09112040911204E-4,2
273.1,0,49,48.4496985639099,62.9819307427555,0.197267580320235,13,32.314610158666,33.5245049032089,11,0.00366166239472721,8.66685678544241E-7,1.0,-0.993762993762994,0.00623700623700624,0.882098171318576,0.882098171318576,1.23015980517453E-4,5.31449495873736E-5,10.0,6.28201699884416E-7,-0.117901828681424,0.736765813172416,-0.117901828681424,0.00623700623700624,1.0,36,-0.993762993762994,6.40790919077261E-4,26,0.274421298669407,23545.1889417796,0.475777675073177,2.30684730867814E-4,4.68692786525082E-4,4.39399487367265E-4,2
273.1,0,50,15.9538357618021,58.0146016759925,0.221099438417453,13,12.425787152096,34.2617932115392,10,0.00366166239472721,7.96566782551479E-7,1.0,-0.998028002366397,0.00197199763360284,0.844797178130511,0.844797178130511,1.68815962713432E-4,5.66270858953949E-5,10.0,7.84677726095487E-7,-0.155202821869489,0.729896364059589,-0.155202821869489,0.00197199763360284,1.0,46,-0.998028002366397,6.33467594287807E-4,32,0.254338684857745,23554.4917612596,0.421162727296304,1.97729769315269E-4,4.65031124130355E-4,4.17429512998902E-4,2
260.1,0,48,18.250159681558,61.8066701376993,0.23001233345504,10,208.762953075786,37.8630041269405,12,0.00384467512495194,2.53554626233956E-7,1.0,-0.994284407864655,0.00571559213534522,0.762691853600944,0.762691853600944,1.44045670394789E-4,5.57872349448495E-5,10.0,6.70108655046883E-7,-0.237308146399055,0.746374920102222,-0.237308146399055,0.00571559213534522,1.0,47,-0.994284407864655,6.3437139561707E-4,29,0.266159581822538,24733.7504805844,0.433113856729634,1.88389081122645E-4,4.61361014994233E-4,4.30603613994618E-4,2
253.4,0,46,31.4224069607096,65.3964359034132,0.231726091448566,9,12.7903664973904,30.9061545101205,11,0.00394632991318074,1.09114256144415E-6,1.0,-0.988105726872247,0.0118942731277533,0.5905552672548,0.5905552672548,1.29136467339364E-4,5.48118882297255E-5,10.0,6.6353263871604E-7,-0.4094447327452,0.746925700972565,-0.4094447327452,0.0118942731277533,1.0,43,-0.988105726872247,6.43251775848461E-4,22,0.273096436796615,25389.5584056827,0.43959881134801,1.93370165745856E-4,4.85398579321231E-4,4.34096290449882E-4,2
256.1,1,45,31.2027262311981,102.956497555887,0.219183773270097,9,14.7194638484427,44.436210612733,10,0.242483404919953,7.91710922431124E-7,1.0,-0.764691714836224,0.00481695568400771,0.65976217874952,0.828538550057537,1.40212095468527E-4,8.80377969379696E-5,9.48848106208512,6.32038131352578E-7,-0.340237821250479,0.763136373947838,-0.171461449942463,0.235308285163776,1.0,37,-0.995183044315992,5.59670781893004E-4,28,0.260113165878123,14013.1405700898,0.406405991778415,2.92181069958848E-4,4.73251028806584E-4,4.15637860082305E-4,2
244.2,1,45,31.1581751122574,97.2878119145544,0.225648737230413,10,17.088267325653,49.4533861340974,11,0.201064701064701,5.82559982876301E-7,1.0,-0.771428571428571,0.0116970278044104,0.68630849220104,0.756065857885615,1.75602206623465E-4,7.77161827204136E-5,9.34070434070434,5.84476298609446E-7,-0.31369150779896,0.692370519608231,-0.243934142114385,0.228571428571429,1.0,30,-0.98830297219559,6.31302060499781E-4,23,0.217884715209092,14699.3837018837,0.40288820043522,2.41122314774222E-4,4.42788250767207E-4,4.60324419114424E-4,2
251.3,2,46,455.687882525662,106.383741156213,0.229041285909007,8,255.863664544431,51.8885440820336,11,0.0875447672105054,4.00482296019247E-7,1.0,-0.749824807288017,2.33590282644242E-4,0.678691275167785,0.80746644295302,1.6241707344096E-4,9.04466954177175E-5,9.16036609629924,2.30414471682306E-7,-0.321308724832215,0.742629552167577,-0.19253355704698,0.250175192711983,1.0,29,-0.999766409717356,6.16854908774978E-4,26,0.24820456082749,14287.6792678074,0.385962338468345,2.69331016507385E-4,4.38748913987837E-4,4.60469157254561E-4,2
265.1,1,51,28.2526527340665,91.6409802226358,0.223588168815515,12,15.4410427327239,47.9500896835371,14,0.230479064503961,8.73795179697789E-7,1.0,-0.718456308738252,0.00739852029594081,0.747239263803681,0.880163599182004,1.85945043761456E-4,9.09089446104298E-5,9.12863070539419,5.88921516097256E-7,-0.252760736196319,0.737839874437607,-0.119836400817996,0.281543691261748,1.0,27,-0.992601479704059,5.9504132231405E-4,21,0.232512599978194,13546.0716710675,0.397965530153865,2.97520661157025E-4,4.3801652892562E-4,4.79338842975207E-4,2
280.1,0,52,334.645169606281,70.3658674499542,0.1610826995575,13,60.7320216741766,47.2777106600377,12,0.00357015351660121,1.47615518984597E-6,1.0,-0.985964912280702,0.0140350877192982,0.779065420560748,0.779065420560748,2.98317443941834E-4,1.9999979011138E-4,10.0,1.52351845796938E-6,-0.220934579439252,0.795533820511593,-0.220934579439252,0.0140350877192982,1.0,38,-0.985964912280702,5.21242413423777E-4,32,0.256338443070822,8134.02499107462,0.358559886225447,3.46304891110318E-4,4.56979650124955E-4,4.31988575508747E-4,2
234.1,0,41,490.68463438422,82.895737008148,0.180464590409996,10,318.224396614905,62.9144559954272,9,0.00427167876975651,5.81810376434373E-7,1.0,-0.925617750882501,0.0743822491174987,0.885979049153908,0.885979049153908,2.85354314037507E-4,1.78580284276624E-4,10.0,3.78176744682343E-7,-0.114020950846092,0.79415144007857,-0.114020950846092,0.0743822491174987,1.0,24,-0.925617750882501,5.38231524989321E-4,17,0.239820816745763,9741.43699273815,0.320857374228161,3.63092695429304E-4,4.74156343442973E-4,4.57069628363947E-4,2
262.1,0,47,68.7894722493005,61.9100501804712,0.161868154824728,15,17.8749406840353,50.7979377717567,10,0.00381533765738268,1.57058993101779E-6,1.0,-0.965875370919881,0.0341246290801187,0.780956112852665,0.780956112852665,2.95189054186193E-4,1.86281519852414E-4,10.0,1.34307456717876E-6,-0.219043887147335,0.80010907592915,-0.219043887147335,0.0341246290801187,1.0,31,-0.965875370919881,4.99809233117131E-4,32,0.261677324017611,8702.86608164823,0.358990697601669,3.8534910339565E-4,4.61655856543304E-4,4.19687142312095E-4,2
246.3,0,43,40.7721980871638,69.4688084595836,0.158808734833328,10,18.4335102556708,55.3011129168348,10,0.00406008932196508,1.46230439539768E-6,1.0,-0.983199079401611,0.016800920598389,0.76987799747581,0.76987799747581,2.98496498946279E-4,1.63297164095582E-4,10.0,1.17103238168026E-6,-0.23012200252419,0.794904853397385,-0.23012200252419,0.016800920598389,1.0,17,-0.983199079401611,5.92773041006902E-4,11,0.26118104945156,9265.78928136419,0.413349489942028,3.45107592367032E-4,4.9533089727974E-4,4.66910272025985E-4,2
257.3,0,49,17.674239948878,62.2256070133597,0.235692949071315,11,11.8369835511948,30.0688565349462,11,0.00388651379712398,1.16815833472873E-6,1.0,-0.989042933810376,0.0109570661896243,0.464025026068822,0.464025026068822,1.28501071121521E-4,5.51129370328884E-5,10.0,5.35133985741655E-7,-0.535974973931178,0.74765546514719,-0.535974973931178,0.0109570661896243,1.0,34,-0.989042933810376,6.49047804119705E-4,22,0.281553163597326,25006.3416245628,0.464466997497865,2.25417800233191E-4,5.01360279828993E-4,4.1974349008939E-4,2
268.4,0,54,38.591412695472,65.4722016519071,0.248335169445753,15,28.185559332521,37.7277847415246,13,0.003725782414307,8.46940838816686E-7,1.0016746912288,-1.0016746912288,0.0,0.872942386831276,0.872942386831276,1.37981649662197E-4,5.60577485774943E-5,10.0,6.66260126535793E-7,-0.127057613168724,0.776252506554078,-0.127057613168724,0.0,1.0016746912288,37,-1.0016746912288,6.37108792846498E-4,25,0.262102345279836,23976.3610283159,0.526123160852548,2.30998509687034E-4,4.84351713859911E-4,4.28464977645306E-4,2
267.2,0,49,61.9009495860246,60.1050312417749,0.20420889860969,13,14.2363851553024,37.5236071457408,11,0.00374251497005988,8.1632320564612E-7,1.0,-0.983575883575884,0.0164241164241164,0.921774931381519,0.921774931381519,1.22730795734141E-4,5.57774468762643E-5,10.0,6.64952015195184E-7,-0.0782250686184812,0.744465742940398,-0.0782250686184812,0.0164241164241164,1.0,45,-0.983575883575884,5.53892215568862E-4,32,0.269545647762768,24092.1238772455,0.423328529352141,2.80688622754491E-4,4.60329341317365E-4,4.22904191616767E-4,2
259.3,0,47,16.9107232491831,60.3142994740393,0.211914894430115,11,17.0910822181687,37.4139381691093,11,0.00385653682992673,9.42629672872632E-7,1.0,-0.978230980751604,0.021769019248396,0.882562277580071,0.882562277580071,1.21777019162357E-4,6.27302335190143E-5,10.0,6.47696462341931E-7,-0.117437722419929,0.781432280064916,-0.117437722419929,0.021769019248396,1.0,37,-0.978230980751604,5.55341303509448E-4,23,0.274763328240406,24828.7751639028,0.40367185165116,3.08522946394138E-4,4.82067103740841E-4,4.3578866178172E-4,2
